file_path,module_complexity,code_churn,module,past_bugs,test_failures,defect_likely,predicted_risk
C:\Users\HP\Django\Django-CRM\accounts\apps.py,1.0,2,accounts,0,0,0,0
C:\Users\HP\Django\Django-CRM\accounts\models.py,1.3333333333333333,706,accounts,10,0,1,1
C:\Users\HP\Django\Django-CRM\accounts\serializer.py,2.357142857142857,433,accounts,0,0,1,1
C:\Users\HP\Django\Django-CRM\accounts\tasks.py,5.666666666666667,494,accounts,4,0,1,1
C:\Users\HP\Django\Django-CRM\accounts\tests_celery_tasks.py,1.5,117,accounts,1,3,0,0
C:\Users\HP\Django\Django-CRM\accounts\views.py,7.277777777777778,6585,accounts,22,0,1,1
C:\Users\HP\Django\Django-CRM\accounts\migrations\0001_initial.py,1.0,579,accounts,0,0,1,1
C:\Users\HP\Django\Django-CRM\accounts\migrations\0002_initial.py,1.0,336,accounts,0,0,1,1
C:\Users\HP\Django\Django-CRM\accounts\migrations\0003_alter_account_created_by.py,1.0,42,accounts,0,0,0,0
C:\Users\HP\Django\Django-CRM\cases\apps.py,1.0,2,cases,0,0,0,0
C:\Users\HP\Django\Django-CRM\cases\models.py,1.0769230769230769,275,cases,7,0,1,1
C:\Users\HP\Django\Django-CRM\cases\serializer.py,1.8571428571428572,302,cases,0,0,1,1
C:\Users\HP\Django\Django-CRM\cases\tasks.py,3.0,192,cases,4,0,1,1
C:\Users\HP\Django\Django-CRM\cases\tests_celery_tasks.py,1.5,38,cases,1,1,0,0
C:\Users\HP\Django\Django-CRM\cases\views.py,6.5,6178,cases,20,0,1,1
C:\Users\HP\Django\Django-CRM\cases\migrations\0001_initial.py,1.0,378,cases,0,0,1,1
C:\Users\HP\Django\Django-CRM\cases\migrations\0002_initial.py,1.0,153,cases,0,0,1,1
C:\Users\HP\Django\Django-CRM\cases\migrations\0003_alter_case_created_by.py,1.0,42,cases,0,0,0,0
C:\Users\HP\Django\Django-CRM\cms\apps.py,1.0,30,cms,0,0,0,0
C:\Users\HP\Django\Django-CRM\cms\blocks.py,1.0,681,cms,0,0,1,1
C:\Users\HP\Django\Django-CRM\cms\models.py,3.0,945,cms,0,0,1,1
C:\Users\HP\Django\Django-CRM\cms\migrations\0001_initial.py,1.0,372,cms,0,0,1,1
C:\Users\HP\Django\Django-CRM\cms\templatetags\menus_tags.py,1.0,30,cms,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\access_decorators_mixins.py,3.5714285714285716,246,common,4,0,1,1
C:\Users\HP\Django\Django-CRM\common\apps.py,1.0,2,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\base.py,3.0,114,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\custom_openapi.py,3.0,21,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\external_auth.py,8.0,158,common,0,0,1,1
C:\Users\HP\Django\Django-CRM\common\manager.py,3.0,48,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\mixins.py,1.0,150,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\models.py,2.5135135135135136,2956,common,22,0,1,1
C:\Users\HP\Django\Django-CRM\common\serializer.py,2.0285714285714285,2279,common,2,0,1,1
C:\Users\HP\Django\Django-CRM\common\status.py,1.0,162,common,0,0,1,1
C:\Users\HP\Django\Django-CRM\common\tasks.py,5.5,1161,common,4,0,1,1
C:\Users\HP\Django\Django-CRM\common\tests_celery_tasks.py,1.5,693,common,1,15,1,1
C:\Users\HP\Django\Django-CRM\common\token_generator.py,1.5,39,common,1,0,0,0
C:\Users\HP\Django\Django-CRM\common\utils.py,4.4,1198,common,5,0,1,1
C:\Users\HP\Django\Django-CRM\common\views.py,5.216216216216216,12614,common,38,0,1,1
C:\Users\HP\Django\Django-CRM\common\context_processors\common.py,1.0,7,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\middleware\get_company.py,3.2,634,common,0,0,1,1
C:\Users\HP\Django\Django-CRM\common\migrations\0001_initial.py,1.0,2368,common,2,0,1,1
C:\Users\HP\Django\Django-CRM\common\migrations\0002_initial.py,1.0,633,common,0,0,1,1
C:\Users\HP\Django\Django-CRM\common\migrations\0003_alter_user_profile_pic.py,1.0,54,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0004_alter_profile_alternate_phone.py,1.0,57,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0005_org_api_key.py,1.0,38,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0006_alter_org_api_key.py,1.3333333333333333,60,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0007_org_is_active.py,1.0,36,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0008_alter_user_managers.py,1.0,36,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0009_user_is_staff.py,1.0,36,common,0,0,0,0
C:\Users\HP\Django\Django-CRM\common\templatetags\common_tags.py,1.5454545454545454,929,common,0,0,1,1
C:\Users\HP\Django\Django-CRM\contacts\apps.py,1.0,2,contacts,0,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\models.py,1.1428571428571428,317,contacts,11,0,1,1
C:\Users\HP\Django\Django-CRM\contacts\serializer.py,2.142857142857143,311,contacts,0,0,1,1
C:\Users\HP\Django\Django-CRM\contacts\tasks.py,3.0,192,contacts,4,0,1,1
C:\Users\HP\Django\Django-CRM\contacts\tests_celery_tasks.py,1.5,40,contacts,1,1,0,0
C:\Users\HP\Django\Django-CRM\contacts\views.py,6.125,5178,contacts,21,0,1,1
C:\Users\HP\Django\Django-CRM\contacts\migrations\0001_initial.py,1.0,488,contacts,1,0,1,1
C:\Users\HP\Django\Django-CRM\contacts\migrations\0002_alter_contact_created_by.py,1.0,63,contacts,0,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\migrations\0003_alter_contact_secondary_number_and_more.py,1.0,72,contacts,0,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\migrations\0004_alter_contact_address.py,1.0,36,contacts,0,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\migrations\0005_alter_contact_address.py,1.0,40,contacts,0,0,0,0
C:\Users\HP\Django\Django-CRM\emails\apps.py,1.0,2,emails,0,0,0,0
C:\Users\HP\Django\Django-CRM\emails\forms.py,1.0,5,emails,2,0,0,0
C:\Users\HP\Django\Django-CRM\emails\models.py,1.5,56,emails,3,0,0,0
C:\Users\HP\Django\Django-CRM\emails\serializer.py,1.0,11,emails,0,0,0,0
C:\Users\HP\Django\Django-CRM\emails\tests.py,1.1904761904761905,443,emails,4,21,1,1
C:\Users\HP\Django\Django-CRM\emails\views.py,2.642857142857143,174,emails,4,0,1,1
C:\Users\HP\Django\Django-CRM\emails\migrations\0001_initial.py,1.0,189,emails,0,0,1,1
C:\Users\HP\Django\Django-CRM\events\apps.py,1.0,7,events,1,0,0,0
C:\Users\HP\Django\Django-CRM\events\models.py,1.1666666666666667,232,events,4,0,1,1
C:\Users\HP\Django\Django-CRM\events\serializer.py,2.272727272727273,361,events,0,0,1,1
C:\Users\HP\Django\Django-CRM\events\tasks.py,4.0,297,events,5,0,1,1
C:\Users\HP\Django\Django-CRM\events\tests_celery_tasks.py,1.5,28,events,2,1,0,0
C:\Users\HP\Django\Django-CRM\events\views.py,6.235294117647059,3808,events,10,0,1,1
C:\Users\HP\Django\Django-CRM\events\migrations\0001_initial.py,1.0,465,events,1,0,1,1
C:\Users\HP\Django\Django-CRM\invoices\api_views.py,8.0,1452,invoices,0,0,1,1
C:\Users\HP\Django\Django-CRM\invoices\apps.py,1.0,7,invoices,1,0,0,0
C:\Users\HP\Django\Django-CRM\invoices\forms.py,2.857142857142857,303,invoices,4,0,1,1
C:\Users\HP\Django\Django-CRM\invoices\models.py,1.5238095238095237,563,invoices,5,0,1,1
C:\Users\HP\Django\Django-CRM\invoices\serializer.py,2.0,317,invoices,0,0,1,1
C:\Users\HP\Django\Django-CRM\invoices\tasks.py,3.75,391,invoices,5,0,1,1
C:\Users\HP\Django\Django-CRM\invoices\tests.py,1.5,1082,invoices,2,55,1,1
C:\Users\HP\Django\Django-CRM\invoices\tests_celery_tasks.py,1.5,60,invoices,2,3,0,0
C:\Users\HP\Django\Django-CRM\invoices\migrations\0001_initial.py,1.0,1391,invoices,1,0,1,1
C:\Users\HP\Django\Django-CRM\leads\apps.py,1.0,2,leads,0,0,0,0
C:\Users\HP\Django\Django-CRM\leads\forms.py,5.6,751,leads,15,0,1,1
C:\Users\HP\Django\Django-CRM\leads\models.py,1.3,557,leads,11,0,1,1
C:\Users\HP\Django\Django-CRM\leads\serializer.py,2.0714285714285716,648,leads,1,0,1,1
C:\Users\HP\Django\Django-CRM\leads\tasks.py,3.1666666666666665,561,leads,8,0,1,1
C:\Users\HP\Django\Django-CRM\leads\tests_celery_tasks.py,1.5,257,leads,2,5,1,1
C:\Users\HP\Django\Django-CRM\leads\views.py,5.724137931034483,9534,leads,33,0,1,1
C:\Users\HP\Django\Django-CRM\leads\migrations\0001_initial.py,1.0,800,leads,0,0,1,1
C:\Users\HP\Django\Django-CRM\leads\migrations\0002_alter_lead_created_by.py,1.0,63,leads,0,0,0,0
C:\Users\HP\Django\Django-CRM\opportunity\apps.py,1.0,2,opportunity,0,0,0,0
C:\Users\HP\Django\Django-CRM\opportunity\models.py,1.1666666666666667,293,opportunity,7,0,1,1
C:\Users\HP\Django\Django-CRM\opportunity\serializer.py,1.75,283,opportunity,0,0,1,1
C:\Users\HP\Django\Django-CRM\opportunity\tasks.py,3.0,198,opportunity,5,0,1,1
C:\Users\HP\Django\Django-CRM\opportunity\tests_celery_tasks.py,1.5,38,opportunity,1,1,0,0
C:\Users\HP\Django\Django-CRM\opportunity\views.py,6.9375,6361,opportunity,18,0,1,1
C:\Users\HP\Django\Django-CRM\opportunity\migrations\0001_initial.py,1.0,1248,opportunity,0,0,1,1
C:\Users\HP\Django\Django-CRM\opportunity\migrations\0002_alter_opportunity_created_by.py,1.0,42,opportunity,0,0,0,0
C:\Users\HP\Django\Django-CRM\planner\apps.py,1.0,2,planner,0,0,0,0
C:\Users\HP\Django\Django-CRM\planner\forms.py,1.0,62,planner,3,0,0,0
C:\Users\HP\Django\Django-CRM\planner\models.py,1.5,246,planner,1,0,1,1
C:\Users\HP\Django\Django-CRM\planner\migrations\0001_initial.py,1.0,883,planner,0,0,1,1
C:\Users\HP\Django\Django-CRM\tasks\apps.py,1.0,7,tasks,1,0,0,0
C:\Users\HP\Django\Django-CRM\tasks\celery_tasks.py,3.0,213,tasks,5,0,1,1
C:\Users\HP\Django\Django-CRM\tasks\models.py,1.2,233,tasks,4,0,1,1
C:\Users\HP\Django\Django-CRM\tasks\serializer.py,1.8571428571428572,268,tasks,0,0,1,1
C:\Users\HP\Django\Django-CRM\tasks\tests_celery_tasks.py,1.5,38,tasks,2,1,0,0
C:\Users\HP\Django\Django-CRM\tasks\views.py,5.176470588235294,3290,tasks,9,0,1,1
C:\Users\HP\Django\Django-CRM\tasks\migrations\0001_initial.py,1.0,387,tasks,1,0,1,1
C:\Users\HP\Django\Django-CRM\tasks\migrations\0002_alter_task_created_by.py,1.0,42,tasks,0,0,0,0
C:\Users\HP\Django\Django-CRM\teams\apps.py,1.0,12,teams,2,0,0,0
C:\Users\HP\Django\Django-CRM\teams\models.py,1.5,192,teams,4,0,1,1
C:\Users\HP\Django\Django-CRM\teams\serializer.py,2.2,198,teams,0,0,1,1
C:\Users\HP\Django\Django-CRM\teams\tasks.py,26.0,257,teams,2,0,1,1
C:\Users\HP\Django\Django-CRM\teams\views.py,4.666666666666667,2340,teams,7,0,1,1
C:\Users\HP\Django\Django-CRM\teams\migrations\0001_initial.py,1.0,193,teams,2,0,1,1
C:\Users\HP\Django\Django-CRM\teams\migrations\0002_alter_teams_table.py,1.0,51,teams,0,0,0,0
C:\Users\HP\Django\Django-CRM\teams\migrations\0003_alter_teams_created_by.py,1.0,63,teams,0,0,0,0
